method,on_frontier_pct,unique_frontier_pct
conviction_voting,61.955085865257594,18.80906411950005
stv,61.650238796870234,15.958744030078243
consent_based,26.348948277614063,3.6276801138095722
quadratic_voting,22.980388171933747,2.4692612539376078
condorcet_schulze,21.715272838126207,1.2498729803881719
irv,17.569352708058123,0.0
score_voting,9.170815973986384,0.0
cumulative_voting,7.600853571791484,0.0
approval_voting,1.7477898587541916,0.0
simple_majority,0.8789757138502184,0.0
supermajority_2_3,0.8789757138502184,0.0
borda,0.46743217152728384,0.0
